ID	Category	English	Korean	Occurrences	Tank	ResourcePath	Line	LineText
7c2d52957b65	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	4108	"help_text = ""Skill Level: "";"
204be48ac924	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	4161	"help_text = ""Skill Level: "";"
ce23a5c6a895	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	4214	"help_text = ""Skill Level: "";"
540b83bfa2e0	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	4267	"help_text = ""Skill Level: "";"
b5add95bcb65	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	4321	"help_text = ""Skill Level: "";"
30487129ce65	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	4372	"help_text = ""Skill Level: "";"
15217cf864d6	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	4424	"help_text = ""Skill Level: "";"
00bb0679dcb2	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	4477	"help_text = ""Skill Level: "";"
1b02d53121bd	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	4527	"help_text = ""Skill Level: "";"
98aabc7a93dc	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	4580	"help_text = ""Skill Level: "";"
1245eab03e31	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	4633	"help_text = ""Skill Level: "";"
bc4e55493ee1	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	4685	"help_text = ""Skill Level: "";"
e7af9ff43c27	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	4737	"help_text = ""Skill Level: "";"
6f7d43d49d83	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	4789	"help_text = ""Skill Level: "";"
7827ea6d046b	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	4841	"help_text = ""Skill Level: "";"
c8e43683d98f	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	4893	"help_text = ""Skill Level: "";"
0800800f3180	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	4948	"help_text = ""Skill Level: "";"
84ce6cdddc47	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	5002	"help_text = ""Skill Level: "";"
296317bb714e	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	5057	"help_text = ""Skill Level: "";"
f9ddf8ca5e58	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	5113	"help_text = ""Skill Level: "";"
6edbf2cea526	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	5167	"help_text = ""Skill Level: "";"
307d7224056a	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	5222	"help_text = ""Skill Level: "";"
553073e4f263	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	5277	"help_text = ""Skill Level: "";"
b1ff860a3637	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	5332	"help_text = ""Skill Level: "";"
989f35761da0	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	5387	"help_text = ""Skill Level: "";"
26081fff3733	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	5444	"help_text = ""Skill Level: "";"
94c9e268a85e	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	5499	"help_text = ""Skill Level: "";"
89406b6279cd	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	5553	"help_text = ""Skill Level: "";"
2689fe272317	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	5608	"help_text = ""Skill Level: "";"
7d737c0f9e1c	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	5663	"help_text = ""Skill Level: "";"
781b43d20aaa	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	5718	"help_text = ""Skill Level: "";"
fd1564883973	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	5773	"help_text = ""Skill Level: "";"
d3ab6459d168	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	6508	"help_text = ""Skill Level: "";"
7b0468c12bde	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	6544	"help_text = ""Skill Level: "";"
72951a6c80db	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	6580	"help_text = ""Skill Level: "";"
5acb7f6d7abc	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	6616	"help_text = ""Skill Level: "";"
a64d0e99241d	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	6652	"help_text = ""Skill Level: "";"
8552908f0a9f	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	6688	"help_text = ""Skill Level: "";"
55ebf6b3eb77	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	6724	"help_text = ""Skill Level: "";"
a996b8f0aa79	B099 confirmed visible GAS	Skill Level: 	기술 레벨: 	1	britannia_logic.dsres	ui/interfaces/backend/character_awp/character_awp.gas	6760	"help_text = ""Skill Level: "";"
1956f480c9f4	B099 confirmed visible GAS	Project Britannia	프로젝트 브리타니아	1	lazarus_logic.dsres	ui/interfaces/backend/data_bar/data_bar.gas	257	"text = ""Project Britannia"";"
a7f8cfd127aa	B099 confirmed visible GAS	Project Britannia	프로젝트 브리타니아	1	britannia_logic.dsres	ui/interfaces/backend/data_bar/data_bar.gas	257	"text = ""Project Britannia"";"
6c71d731a047	B099 confirmed visible GAS	Press escape for options.	옵션을 열려면 Esc 키를 누르십시오.	1	lazarus_logic.dsres	ui/interfaces/backend/data_bar/data_bar.gas	277	"text = ""Press escape for options."";"
c40aa55ea1d5	B099 confirmed visible GAS	Press escape for options.	옵션을 열려면 Esc 키를 누르십시오.	1	britannia_logic.dsres	ui/interfaces/backend/data_bar/data_bar.gas	277	"text = ""Press escape for options."";"
53ab3bde5371	B099 confirmed visible GAS	Attack Freely	자유 공격	1	britannia_logic.dsres	ui/interfaces/backend/field_commands/field_commands.gas	36	"text = ""Attack Freely"";"
f17bec713c34	B099 confirmed visible GAS	Move Freely	자유 이동	1	britannia_logic.dsres	ui/interfaces/backend/field_commands/field_commands.gas	458	"text = ""Move Freely"";"
fbca4af45529	B099 confirmed visible GAS	Target Weakest	가장 약한 적 공격	1	britannia_logic.dsres	ui/interfaces/backend/field_commands/field_commands.gas	520	"text = ""Target Weakest"";"
c2b38d67b0c5	B099 confirmed visible GAS	EXIT GAME	게임 종료	1	britannia_logic.dsres	ui/interfaces/backend/in_game_menu/in_game_menu.gas	53	"text = ""EXIT GAME"";"
ac725ec8bd5a	B099 confirmed visible GAS	EXIT GAME	게임 종료	1	lazarus_logic.dsres	ui/interfaces/backend/in_game_menu/in_game_menu.gas	56	"text = ""EXIT GAME"";"
4a7e701f1f82	B099 confirmed visible GAS	LOAD GAME	게임 불러오기	1	britannia_logic.dsres	ui/interfaces/backend/in_game_menu/in_game_menu.gas	86	"text = ""LOAD GAME"";"
2eee5042cc43	B099 confirmed visible GAS	LOAD GAME	게임 불러오기	1	lazarus_logic.dsres	ui/interfaces/backend/in_game_menu/in_game_menu.gas	89	"text = ""LOAD GAME"";"
a6fa8ee38338	B099 confirmed visible GAS	RESUME GAME	게임 계속하기	1	britannia_logic.dsres	ui/interfaces/backend/in_game_menu/in_game_menu.gas	152	"text = ""RESUME GAME"";"
6a6cdd1a523a	B099 confirmed visible GAS	RESUME GAME	게임 계속하기	1	lazarus_logic.dsres	ui/interfaces/backend/in_game_menu/in_game_menu.gas	155	"text = ""RESUME GAME"";"
b03eda68e3a1	B099 confirmed visible GAS	SAVE GAME	게임 저장	1	britannia_logic.dsres	ui/interfaces/backend/in_game_menu/in_game_menu.gas	185	"text = ""SAVE GAME"";"
fad5e802418f	B099 confirmed visible GAS	SAVE GAME	게임 저장	1	lazarus_logic.dsres	ui/interfaces/backend/in_game_menu/in_game_menu.gas	188	"text = ""SAVE GAME"";"
4fddd0771f29	B099 confirmed visible GAS	Scroll Title	두루마리 제목	1	britannia_logic.dsres	ui/interfaces/backend/lore_book/lore_book.gas	326	"text = ""Scroll Title"";"
d839eb694b54	B099 confirmed visible GAS	Current Time:	현재 시간:	1	lazarus_logic.dsres	ui/interfaces/backend/multiplayer_timer/full/multiplayer_timer.gas	137	"text = ""Current Time:"";"
b7bdedbbaa8a	B099 confirmed visible GAS	Time Remaining:	남은 시간:	1	lazarus_logic.dsres	ui/interfaces/backend/multiplayer_timer/full/multiplayer_timer.gas	155	"text = ""Time Remaining:"";"
189e677b3e89	B099 confirmed visible GAS	Moon Phases:	달의 위상:	1	lazarus_logic.dsres	ui/interfaces/backend/multiplayer_timer/full/multiplayer_timer.gas	299	"text = ""Moon Phases:"";"
26fda7036a54	B099 confirmed visible GAS	Current Time:	현재 시간:	1	britannia_logic.dsres	ui/interfaces/backend/multiplayer_timer/multiplayer_timer.gas	115	"text = ""Current Time:"";"
96536041dd9b	B099 confirmed visible GAS	Time Remaining:	남은 시간:	1	britannia_logic.dsres	ui/interfaces/backend/multiplayer_timer/multiplayer_timer.gas	133	"text = ""Time Remaining:"";"
4d59a59689db	B099 confirmed visible GAS	Jump ahead 4 hours	4시간 건너뛰기	1	britannia_logic.dsres	ui/interfaces/backend/multiplayer_timer/multiplayer_timer.gas	337	"text = ""Jump ahead 4 hours"";"
