ID	Type	Types	English	Korean	FrenchReference	FrenchVariants	Occurrences	ResourceCount	ExampleResourcePath	ExampleLine	ExampleContext	SourceTanks	Note	Batch
667c95d7c633	String	String	...spie-ing	...염탐 같은　			1	1	world/global/lorebooks/lore_laz-wrong-prison-journal3.skrit	179	stringTool.Append(varContent$, "...spie-ing");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_ENGLISH_RESIDUAL	B096
960627a635ba	String	String	lom	　			1	1	world/global/lorebooks/lore_laz-sword-keg.skrit	185	stringTool.Append(varContent$, "lom");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_ENGLISH_RESIDUAL; 앞선 한국어 조각에 의미가 이미 포함되어 있어 영문 잔존 삭제용 공백 1칸	B096
82358b9820d2	String	String	t.	　			1	1	world/global/lorebooks/lore_laz-blackthorn-valour.skrit	208	stringTool.Append(varContent$, "t.");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_ENGLISH_RESIDUAL; 앞선 한국어 조각에 의미가 이미 포함되어 있어 영문 잔존 삭제용 공백 1칸	B096
f28246554390	String	String	Palace of Lord Blackthorn\n\nPrisoner Record\n\n\n\nBeing a list of current an	블랙쏜 경의 궁전\n\n수감자 기록\n\n\n\n현재 및 최근			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	15	stringTool.Append(varContent$, "Palace of Lord Blackthorn\n\nPrisoner Record\n\n\n\nBeing a list of current an");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
3d2dc0ae2909	String	String	d recent prisoners, detailing their particulars, crimes and sentences.\n\nAdhe	수감자들의 신상, 범죄 및 형벌을 기록한 목록.\n\n모든 일에서			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	16	stringTool.Append(varContent$, "d recent prisoners, detailing their particulars, crimes and sentences.\n\nAdhe");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
61b1c9aa3e75	String	String	re to the Eight Laws of the Code of Virtue in all things.\n\n\nCode of Virtue	미덕의 규율에 따른 여덟 법을 준수할 것.\n\n\n미덕의 규율			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	17	stringTool.Append(varContent$, "re to the Eight Laws of the Code of Virtue in all things.\n\n\nCode of Virtue");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
2eca266ad46f	String	String	\n\n1. Thou shalt not lie, or thou shalt lose thy tongue.\n\n2. Thou shalt hel	\n\n1. 거짓말하지 말라. 그렇지 않으면 혀를 잃으리라.\n\n2. 도움이			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	18	stringTool.Append(varContent$, "\n\n1. Thou shalt not lie, or thou shalt lose thy tongue.\n\n2. Thou shalt hel");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
e679b397f14a	String	String	p those in need, or thou shalt suffer the same need.\n\n3. Thou shalt fight to	필요한 자를 도우라. 그렇지 않으면 그와 같은 궁핍을 겪으리라.\n\n3. 도전을 받으면			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	19	stringTool.Append(varContent$, "p those in need, or thou shalt suffer the same need.\n\n3. Thou shalt fight to");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
2261798a7ea9	String	String	the death if challenged, or thou shalt be banished as a coward.\n\n4. Thou sh	죽을 때까지 싸우라. 그렇지 않으면 겁쟁이로 추방되리라.\n\n4. 자신의			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	20	stringTool.Append(varContent$, " the death if challenged, or thou shalt be banished as a coward.\n\n4. Thou sh");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
f719cef6f6a5	String	String	alt confess to thy crime and suffer its just punishment, or thou shalt be put	죄를 고백하고 정당한 형벌을 받으라. 그렇지 않으면			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	21	stringTool.Append(varContent$, "alt confess to thy crime and suffer its just punishment, or thou shalt be put ");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
